Postcode;Plaatsnaam;Deelgemeente;Hoofdgemeente;Provincie
7040;Aulnois;Ja;QUÉVY;Henegouwen
6706;Autelbas;Ja;ARLON;Luxemburg
1367;Autre-Eglise;Ja;RAMILLIES;Waals-Brabant
7387;Autreppe;Ja;HONNELLES;Henegouwen
5060;Auvelais;Ja;SAMBREVILLE;Namen
5580;Ave-Et-Auffe;Ja;ROCHEFORT;Namen
8630;Avekapelle;Ja;VEURNE;West-Vlaanderen
8580;AVELGEM;Neen;AVELGEM;West-Vlaanderen
4260;Avennes;Ja;BRAIVES;Luik
3271;Averbode;Ja;SCHERPENHEUVEL-ZICHEM;Vlaams-Brabant
4280;Avernas-Le-Bauduin;Ja;HANNUT;Luik
4280;Avin;Ja;HANNUT;Luik
4340;AWANS;Neen;AWANS;Luik
6870;Awenne;Ja;SAINT-HUBERT;Luxemburg
4400;Awirs;Ja;FLÉMALLE;Luik
6900;Aye;Ja;MARCHE-EN-FAMENNE;Luxemburg
4630;Ayeneux;Ja;SOUMAGNE;Luik
4920;AYWAILLE;Neen;AYWAILLE;Luik
9890;Baaigem;Ja;GAVERE;Oost-Vlaanderen 
3128;Baal;Ja;TREMELO;Vlaams-Brabant
9310;Baardegem;Ja;AALST;Oost-Vlaanderen 
2387;BAARLE-HERTOG;Neen;BAARLE-HERTOG;Antwerpen
9200;Baasrode;Ja;DENDERMONDE;Oost-Vlaanderen 
9800;Bachte-Maria-Leerne;Ja;DEINZE;Oost-Vlaanderen 
4837;BAELEN;Neen;BAELEN;Luik
5550;Bagimont;Ja;VRESSE-SUR-SEMOIS;Namen
6464;Baileux;Ja;CHIMAY;Henegouwen
6460;Bailièvre;Ja;CHIMAY;Henegouwen
5555;Baillamont;Ja;BIÈVRE;Namen
7730;Bailleul;Ja;ESTAIMPUIS;Henegouwen
5377;Baillonville;Ja;SOMME-LEUZE;Namen
7380;Baisieux;Ja;QUIÉVRAIN;Henegouwen
1470;Baisy-Thy;Ja;GENAPPE;Waals-Brabant
5190;Balâtre;Ja;JEMEPPE-SUR-SAMBRE;Namen
9860;Balegem;Ja;OOSTERZELE;Oost-Vlaanderen 
2490;BALEN;Neen;BALEN;Antwerpen
9420;Bambrugge;Ja;ERPE-MERE;Oost-Vlaanderen 
6951;Bande;Ja;NASSOGNE;Luxemburg
6500;Barbençon;Ja;BEAUMONT;Henegouwen
4671;Barchon;Ja;BLÉGNY;Luik
5570;Baronville;Ja;BEAURAING;Namen
7534;Barry;Ja;TOURNAI;Henegouwen
5370;Barvaux-Condroz;Ja;HAVELANGE;Namen
6940;Barvaux-Sur-Ourthe;Ja;DURBUY;Luxemburg
4520;Bas-Oha;Ja;WANZE;Luik
7971;Basècles;Ja;BELOEIL;Henegouwen
4983;Basse-Bodeux;Ja;TROIS-PONTS;Luik
4690;BASSENGE;Neen;BASSENGE;Luik
9968;Bassevelde;Ja;ASSENEDE;Oost-Vlaanderen 
7830;Bassilly;Ja;SILLY;Henegouwen
6600;BASTOGNE;Neen;BASTOGNE;Luxemburg
3870;Batsheers;Ja;HEERS;Limburg
4651;Battice;Ja;HERVE;Luik
7130;Battignies;Ja;BINCHE;Henegouwen
7331;Baudour;Ja;SAINT-GHISLAIN;Henegouwen
7870;Bauffe;Ja;LENS;Henegouwen
7604;Baugnies;Ja;PÉRUWELZ;Henegouwen
1401;Baulers;Ja;NIVELLES;Waals-Brabant
9520;Bavegem;Ja;SINT-LIEVENS-HOUTEM;Oost-Vlaanderen 
8531;Bavikhove;Ja;HARELBEKE;West-Vlaanderen
9150;Bazel;Ja;KRUIBEKE;Oost-Vlaanderen 
4052;Beaufays;Ja;CHAUDFONTAINE;Luik
6500;BEAUMONT;Neen;BEAUMONT;Henegouwen
5570;BEAURAING;Neen;BEAURAING;Namen
6980;Beausaint;Ja;LA ROCHE-EN-ARDENNE;Luxemburg
1320;BEAUVECHAIN;Neen;BEAUVECHAIN;Waals-Brabant
6594;Beauwelz;Ja;MOMIGNIES;Henegouwen
7532;Béclers;Ja;TOURNAI;Henegouwen
3960;Beek;Ja;BREE;Limburg
9630;Beerlegem;Ja;ZWALM;Oost-Vlaanderen 
8730;BEERNEM;Neen;BEERNEM;West-Vlaanderen
2340;BEERSE;Neen;BEERSE;Antwerpen
1650;BEERSEL;Neen;BEERSEL;Vlaams-Brabant
8600;Beerst;Ja;DIKSMUIDE;West-Vlaanderen
1673;Beert;Ja;PEPINGEN;Vlaams-Brabant
9080;Beervelde;Ja;LOCHRISTI;Oost-Vlaanderen 
2580;Beerzel;Ja;PUTTE;Antwerpen
5000;Beez;Ja;NAMUR;Namen
6987;Beffe;Ja;RENDEUX;Luxemburg
3130;BEGIJNENDIJK;Neen;BEGIJNENDIJK;Vlaams-Brabant
6672;Beho;Ja;GOUVY;Luxemburg
1852;Beigem;Ja;GRIMBERGEN;Vlaams-Brabant
8480;Bekegem;Ja;ICHTEGEM;West-Vlaanderen
1730;Bekkerzeel;Ja;ASSE;Vlaams-Brabant
3460;BEKKEVOORT;Neen;BEKKEVOORT;Vlaams-Brabant
1009;Belgische Senaat;;Belgische Senaat;
5001;Belgrade;Ja;NAMUR;Namen
4610;Bellaire;Ja;BEYNE-HEUSAY;Luik
7170;Bellecourt;Ja;MANAGE;Henegouwen
5555;Bellefontaine;Ja;BIÈVRE;Namen
6730;Bellefontaine;Ja;TINTIGNY;Luxemburg
8510;Bellegem;Ja;KORTRIJK;West-Vlaanderen
9881;Bellem;Ja;AALTER;Oost-Vlaanderen 
6834;Bellevaux;Ja;BOUILLON;Luxemburg
4960;Bellevaux-Ligneuville;Ja;MALMEDY;Luik
1674;Bellingen;Ja;PEPINGEN;Vlaams-Brabant
7970;BELOEIL;Neen;BELOEIL;Henegouwen
9111;Belsele;Ja;SINT-NIKLAAS;Oost-Vlaanderen 
4500;Ben-Ahin;Ja;HUY;Luik
6941;Bende;Ja;DURBUY;Luxemburg
3540;Berbroek;Ja;HERK-DE-STAD;Limburg
2600;Berchem;Ja;ANTWERPEN;Antwerpen
9690;Berchem;Ja;KLUISBERGEN;Oost-Vlaanderen 
2040;Berendrecht;Ja;ANTWERPEN;Antwerpen
1910;Berg;Ja;KAMPENHOUT;Vlaams-Brabant
3700;Berg;Ja;TONGEREN;Limburg
4360;Bergilers;Ja;OREYE;Luik
3580;BERINGEN;Neen;BERINGEN;Limburg
2590;BERLAAR;Neen;BERLAAR;Antwerpen
9290;BERLARE;Neen;BERLARE;Oost-Vlaanderen 
3830;Berlingen;Ja;WELLEN;Limburg
4257;BERLOZ;Neen;BERLOZ;Luik
4607;Berneau;Ja;DALHEM;Luik
7320;BERNISSART;Neen;BERNISSART;Henegouwen
6560;Bersillies-L'Abbaye;Ja;ERQUELINNES;Henegouwen
3060;BERTEM;Neen;BERTEM;Vlaams-Brabant
6687;BERTOGNE;Neen;BERTOGNE;Luxemburg
4280;Bertrée;Ja;HANNUT;Luik
6880;BERTRIX;Neen;BERTRIX;Luxemburg
5651;Berzée;Ja;WALCOURT;Namen
8980;Beselare;Ja;ZONNEBEKE;West-Vlaanderen
3130;Betekom;Ja;BEGIJNENDIJK;Vlaams-Brabant
4300;Bettincourt;Ja;WAREMME;Luik
5030;Beuzet;Ja;GEMBLOUX;Namen
2560;Bevel;Ja;NIJLEN;Antwerpen
1547;BEVER;Neen;BEVER;Vlaams-Brabant
4960;Bevercé;Ja;MALMEDY;Luik
9700;Bevere;Ja;OUDENAARDE;Oost-Vlaanderen 
8791;Beveren;Ja;WAREGEM;West-Vlaanderen
8800;Beveren;Ja;ROESELARE;West-Vlaanderen
8691;Beveren-Aan-De-Ijzer;Ja;ALVERINGEM;West-Vlaanderen
